Label Code,Artist,Title,Label,Format,Released,Date Added
440 063 336-1,Johnny Cash,American IV: The Man Comes Around,American Recordings,"2xLP, Album",2002,2011-04-18 08:14:41
DS52,F----d Up / Haymaker,F----d Up / Haymaker,Deep Six Records,"7""",2002,2013-12-02 16:26:10
DJX35,RJD2,Deadringer,Definitive Jux,"2xLP, Album",2002,2016-03-06 00:31:54
86635-1,Bad Religion,The Process Of Belief,Epitaph,"LP, Album, Gat",2002,2011-05-16 16:26:23
FAT639-1,No Use For A Name,Hard Rock Bottom,Fat Wreck Chords,"LP, Album",2002,2012-02-15 08:45:50
FLT003,The Ghost (4) / Prosperity Wallet,A Split Twelve Inch Recording,Grey Flight Records,"12""",2002,2014-01-16 14:13:53
HR663-1,Common Rider,This Is Unity Music,Hopeless Records,"LP, Album",2002,2012-09-11 07:46:26
SP-05,The Code (3) / Whatever It Takes,The Code / Whatever It Takes,Spent Records,"10"", Bla",2002,2011-12-03 19:48:00
YC-LS 025,The International Noise Conspiracy,Your Choice Live Series,Your Choice Records,"LP, Ltd",2002,2011-03-17 07:39:29
DER-33,F----d Up,Police,Deranged Records,"7"", RP",2003,2014-01-20 08:00:30
TRR 61,Explosions In The Sky,The Earth Is Not A Cold Dead Place,Temporary Residence Limited,"LP + LP, S/Sided, Etch + Album, RP",2003,2011-09-21 13:53:03
AF0035,Anti-Flag,Mobilize,A-F Records,"LP, Bla",2004,2014-01-10 18:13:07
Virus 320,Leftöver Crack,Fuck World Trade,Alternative Tentacles,"LP, Album",2004,2012-02-15 08:45:50
86694-1,Bad Religion,The Empire Strikes First,Epitaph,"LP, Album",2004,2016-02-25 21:26:03
FAT682-1,Only Crime,To The Nines,Fat Wreck Chords,"LP, Album",2004,2014-01-23 21:28:03
80463-1,HorrorPops,Hell Yeah!,Hellcat Records,"LP, Album",2004,2014-01-16 14:12:24
SP 630,Iron And Wine,Our Endless Numbered Days,Sub Pop,"LP, Album",2004,2014-01-21 21:51:36
AOTU 17,Rachel Jacobs,Friend Overseas,Art Of The Underground,"7""",2005,2015-03-26 11:09:53
DER 52 RE,F----d Up,Dance Of Death,Deranged Records,"7"", RP",2005,2014-01-20 08:07:35
FAT689-1,The Epoxies,Stop The Future,Fat Wreck Chords,"LP, Album",2005,2014-01-22 20:19:49
Murder003,F----d Up,Generation,Slasher Records,"7"", RP",2005,2014-01-20 08:03:21
BLOCKS038,F----d Up,Year Of The Dog,Blocks Recording Club,"12"", EP",2006,2012-03-19 09:02:35
DY-82,F----d Up,Dangerous Fumes,Deranged Records,"7"", Single",2006,2014-01-20 08:06:46
DPR022,Lower Class Brats,The New Seditionaries,Dirty Punk Records,"LP, Album",2006,2014-01-26 22:54:29
FAT 709-1,The Sainte Catherines,Dancing For Decadence,Fat Wreck Chords,LP,2006,2014-01-26 23:06:39
FAT714-1,Against Me!,From Her Lips To God's Ears,Fat Wreck Chords,"12"", Ltd",2006,2014-01-10 17:36:16
HR684-1,Against All Authority,The Restoration Of Chaos & Order,Hopeless Records,2xLP,2006,2014-01-10 17:41:13
INTR-11722-7,Yeah Yeah Yeahs,Gold Lion,Interscope Records,"7"", Pic, Promo",2006,2014-01-28 14:28:44
JT1116,F----d Up,Triumph Of Life,Jade Tree,"7"", EP, Pin",2006,2014-01-20 08:01:10
MRV-003,Baseheadz Ft. Kev Brown,Hiphop,Mental Recordings,"12""",2006,2014-01-11 10:14:10
MH-243,Blue Sky Black Death,A Heap Of Broken Images,Mush,"2xLP, Album",2006,2014-01-23 18:06:52
82876 81077-7,Anti-Flag,Emigre,RCA,"7"", Promo",2006,2011-04-18 08:04:20
STH2138,Aloe Blacc,Shine Through,Stones Throw Records,"2xLP, Album",2006,2011-07-20 09:46:30
SP 690,Band Of Horses,Everything All The Time,Sub Pop,"LP, Album",2006,2014-01-11 10:18:56
VIRUS 373,Leftöver Crack / Citizen Fish,Deadline,Alternative Tentacles,"LP, Album",2007,2014-09-27 17:49:03
BAKO-16,Matty Pop Chart,Everyone Does Everything,Bakery Outlet Records,LP,2007,2014-01-26 22:34:18
BEC5772110,Justice (3),†,"Because Music, Ed Banger Records","2xLP, Album, Gat",2007,2014-01-16 10:54:55
COUNT007,The Heavy,Great Vengeance & Furious Fire,Counter Records,"LP, Album, Ltd, Gat",2007,2012-08-22 09:50:09
DAP-012,Sharon Jones & The Dap-Kings,"100 Days, 100 Nights",Daptone Records,"LP, Album",2007,2015-12-04 12:56:16
# 81,Extortion (2),Sick,Deep Six Records,"12"", Album, Pur",2007,2014-09-16 18:53:05
HCR-05,Hostage Calm,Demo,Headcount Records (2),"7"", RP, red",2007,2014-01-28 15:19:52
RHI1 73394,Joy Division,Closer,Rhino Records (2),"LP, Album, RE, 180",2007,2014-01-16 10:49:01
RHI1 73395,Joy Division,Unknown Pleasures,"Rhino Records (2), London Records","LP, Album, RE, RM, 180",2007,2014-01-16 10:50:29
ROBO 071,Isis (6),In The Absence Of Truth,Robotic Empire,"2xLP, Album, RP",2007,2014-01-21 12:54:03
"101304-1, 101304-2",Against Me!,New Wave,"Sire, Sire","LP, Album, Yel + CD, Album",2007,2016-03-24 20:54:57
SP 745,Band Of Horses,Cease To Begin,Sub Pop,"LP, Album",2007,2014-01-11 11:23:23
TRR 99,Explosions In The Sky,All Of A Sudden I Miss Everyone,Temporary Residence Limited,"LP + LP, S/Sided, Etch + Album",2007,2011-06-16 09:35:52
VR323,Comeback Kid,Broadcasting...,Victory Records,"LP, Cle",2007,2014-01-21 12:36:01
AF0052,Anti-Flag,The Bright Lights Of America,A-F Records,"LP, Album + LP, S/Sided, Album, Etch",2008,2014-01-10 18:10:32
abr 0084,Dosh,Wolves And Wishes,Anticon,"LP, Album, Ltd",2008,2014-01-22 12:51:45
B9R098,Ceremony (4),Still Nothing Moves You,Bridge Nine Records,"LP, Album, RP, Yel",2008,2015-02-28 08:59:48
"DIFB 1200 DLP, 451.1200.012",Crystal Castles,Crystal Castles,"Different, Different","2xLP, Album",2008,2014-01-15 18:30:30
Dischord 10,Minor Threat,Out Of Step,Dischord Records,"12"", RE, RM",2008,2011-04-20 20:42:50
Dischord 30,Fugazi,Fugazi,Dischord Records,"12"", EP, RE, RM",2008,2014-01-23 21:55:47
"Dischord 12, DISCHORD No. 12",Minor Threat,Minor Threat,"Dischord Records, Dischord Records","LP, Comp, RM, RP, Yel",2008,2011-04-20 20:48:08
FAT 733-1,Lagwagon,I Think My Older Brother Used To Listen To Lagwagon,Fat Wreck Chords,"12"", MiniAlbum + CD, MiniAlbum",2008,2014-01-26 22:55:31
B0011696-01,Sublime (2),Sublime,"Gasoline Alley Records, Skunk Records (2), Geffen Records","2xLP, Album, RE, 180",2008,2014-01-15 12:10:39
80441-1,The Distillers,Sing Sing Death House,Hellcat Records,"LP, Album, RP",2008,2014-05-24 11:37:21
80498-1,HorrorPops,Kiss Kiss Kill Kill,Hellcat Records,"LP, Album",2008,2011-09-21 13:52:10
80501-1,Civet,Hell Hath No Fury,Hellcat Records,"LP, Album",2008,2011-05-21 19:54:11
"SIR 016, GOLDEN 003",A. Armada,Anam Cara,"Hello Sir Records, Golden Antenna Records",LP,2008,2014-01-10 18:16:21
BOO11592-01,Scars On Broadway,Scars On Broadway,Interscope Records,"LP, Album",2008,2014-01-23 07:55:41
INTR124891,Rise Against,Re-Education (Through Labor),Interscope Records,"7"", Promo, Whi",2008,2011-04-18 07:58:19
JAG115,Bon Iver,"For Emma, Forever Ago",Jagjaguwar,"LP, Album",2008,2012-02-15 08:45:50
KEM 064,Saviours,Into Abaddon,Kemado Records,"LP, Album",2008,2014-08-19 14:25:35
LETV016LP,Killing Joke,Revelations,Let Them Eat Vinyl,"2xLP, Album, RE",2008,2014-01-26 22:43:03
OLE 807-1,F----d Up,The Chemistry Of Common Life,Matador,"2xLP, Album",2008,2014-01-20 08:09:28
OLE 832-1,Mogwai,The Hawk Is Howling,Matador,"2xLP, Album",2008,2011-09-21 13:52:38
OLE 837-7,F----d Up,Crooked Head,Matador,"7"", Single",2008,2014-01-20 08:02:18
"OLE 828-1, ?0307",F----d Up,Year Of The Pig,"Matador, What's Your Rupture?","12"", Single",2008,2014-01-20 09:01:23
NIR-151,Against Me!,Cavalier Eternal / You Look Like I Need A Drink,No Idea Records,"7"", Single, RP, Pur",2008,2014-01-28 16:11:47
292476-1,The Black Keys,Attack & Release,Nonesuch,"LP, Album, Gat + CD, Album, Promo",2008,2014-01-14 19:20:36
7-482300,The Black Keys,Strange Times,Nonesuch,"7"", Single",2008,2014-01-15 07:05:53
88697-29161-7,Anti-Flag,The Bright Lights Of America,RCA,"7"", Promo",2008,2011-04-22 07:16:42
SP 772,No Age,Nouns,Sub Pop,"LP, Album",2008,2014-01-23 21:31:24
"SP 777, SP 781",Fleet Foxes,Fleet Foxes,"Sub Pop, Sub Pop","LP, Album + 12"", EP",2008,2014-01-21 12:40:45
thrill 202,The Fiery Furnaces,Remember,Thrill Jockey,"3xLP, Album, Ltd, Gat",2008,2014-05-03 10:05:39
AM-182,Classics Of Love,Walking In Shadows EP,Asian Man Records,"12"", EP, RP, Cle + CD, EP",2009,2011-03-17 07:36:56
R1 82658,Bad Religion,Stranger Than Fiction,Atlantic,"LP, Album, RE, Red",2009,2011-04-18 08:27:06
BAKO24,Street Eaters,We See Monsters,Bakery Outlet Records,"12"", EP",2009,2014-09-16 18:54:58
BYO 125,Various,Let Them Know,Better Youth Organization,"2xLP, Red + CD + DVD + Box, Comp",2009,2011-10-03 08:46:20
BLM0211,Junior Kimbrough,First Recordings,Big Legal Mess Records,"10"", EP",2009,2013-11-22 10:09:06
B9R122,Defeater,Lost Ground,Bridge Nine Records,"2x7"", RP, Whi",2009,2014-01-28 15:34:32
B9R126,Strike Anywhere,Iron Front,Bridge Nine Records,"LP, Album, Gre",2009,2016-01-30 11:22:03
COUNT028,The Heavy,The House That Dirt Built,Counter Records,"LP, Album",2009,2011-08-04 10:09:15
EU09027,Sinkane,Sinkane,Emergency Umbrella Records,"LP, Album, Ltd",2009,2015-07-25 19:22:26
87032-2,Rancid,Let The Dominoes Fall,"Epitaph, Hellcat Records","Box, Ltd, Col + 2xLP, Album + LP, Album + CD, Albu",2009,2014-01-22 13:42:31
EYE1-20015,Thursday,Waiting,Eyeball Records,"LP, Album, Whi",2009,2011-05-07 21:17:50
80308-1,Junior Kimbrough And The Soul Blues Boys,All Night Long,Fat Possum Records,"LP, Album, Ltd, RE, 180",2009,2014-01-26 22:55:04
FKR042-1,Local Natives,Gorilla Manor,Frenchkiss Records,"LP, Album",2009,2012-02-15 08:45:50
,Girl Talk,Night Ripper,Illegal Art,"2xLP, 180",2009,2014-01-27 12:13:35
5303052,Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers,"Island Records, Tuff Gong","LP, Comp, RE, 180",2009,2014-01-26 22:55:40
LETV019LP,Killing Joke,Outside The Gate,Let Them Eat Vinyl,"2xLP, RE, 180",2009,2014-01-26 22:54:46
LPU019,HEALTH (2),//Disco,Lovepump United,"2xLP, Album",2009,2014-01-26 13:27:37
MBL110-1,This Will Destroy You & Lymbyc Systym,Field Studies,Magic Bullet Records,"LP, Red",2009,2014-01-23 18:05:53
OLE 838-7,F----d Up,No Epiphany,Matador,"7"", Single",2009,2014-01-20 08:01:41
FOOD LP10,Blur,Parklife,Not On Label (Blur),"LP, Album, Unofficial, Blu",2009,2014-01-21 21:51:43
"ORG 034, B0012764-01",Nirvana,MTV Unplugged In New York,"Original Recordings Group, Universal Music Special Markets","LP, Album, Ltd, RE, RM, Red",2009,2014-01-23 21:35:24
RSR008,Hostage Calm,Lens,Redscroll Records,"LP, Ltd, Bla",2009,2014-01-16 11:51:10
"Fac 63, fac 63",New Order,Temptation,"Rhino Custom Products, Rhino Custom Products","7"", RE, Single",2009,2011-04-18 07:59:47
SD1407,Gogol Bordello,Live From Axis Mundi,SideOneDummy Records,"2xLP, Album + DVD-V",2009,2016-01-30 11:30:36
"SH136-1, HTC 025",Mike Hale,Lives Like Mine,"Suburban Home Records, Hometown Caravan","LP, Album, Gre",2009,2014-01-21 12:38:21
TMR 001,The Dead Weather,Hang You From The Heavens,Third Man Records,"7"", Single",2009,2014-01-28 15:36:03
TL 31-1,Irepress,Sol Eye Sea I,Translation Loss Records,"2xLP, Album, Ltd, Pur",2009,2014-12-30 21:55:31
"7243 8 41655 1 2, HUTTLP 30",The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,"Virgin (2), Hut Recordings (2)","3xLP, Album, Ltd, RP, Unofficial",2009,2014-01-15 09:11:13
WYR ?0109,F----d Up,Year Of The Rat B/W First Born,What's Your Rupture?,"12""",2009,2012-03-19 09:02:37
"XL LP 450, YT031LP",The XX,XX,"XL Recordings, Young Turks","LP, Album",2009,2012-02-15 08:45:50
36-767504,Gogol Bordello,We Comin' Rougher (Immigraniada),American Recordings,"7"", Single, Gre",2010,2011-04-18 08:00:57
"38 0781060, 88697 81060 7-S1",Slayer,World Painted Blood / Atrocity Vendor,"American Recordings, American Recordings","7"", Single, Ltd, Red",2010,2011-04-18 08:00:27
AOTU 093,Classics Of Love,Art Of The Underground Single Series Volume 49,Art Of The Underground,"7"", Single",2010,2011-03-17 07:37:17
38-779225,MGMT,Congratulations,Columbia,"7"", Ltd",2010,2014-01-28 15:15:47
88697 69110 1,Band Of Horses,Infinite Arms,"Columbia, Fat Possum Records, Brown Records","LP, Album, Gat",2010,2014-01-11 10:20:20
"88697665251, MOVLP069",The Raveonettes,Chain Gang Of Love,"Columbia, Music On Vinyl","LP, RE, 180",2010,2014-01-26 13:29:38
86988-1,Bad Religion,The Dissent Of Man,Epitaph,"LP, Album + CD, Album",2010,2014-01-10 18:03:21
R1 523284,The Cure,Disintegration,"Fiction Records, Elektra, Rhino Records (2)","2xLP, Album, RE, RM",2010,2014-01-21 22:29:44
FU:009,F----d Up,David's Plan,F----d Up Records,"7""",2010,2014-01-20 08:05:31
80517-1,Street Dogs,Street Dogs,Hellcat Records,"LP, Album",2010,2011-07-06 11:34:31
KRS503,Xiu Xiu,"Dear God, I Hate Myself",Kill Rock Stars,"LP, Album",2010,2014-01-23 10:31:05
LPU032,HEALTH (2),::DISCO2,Lovepump United,"2xLP, Comp",2010,2014-03-31 11:05:23
OLE 839-1,F----d Up,Couple Tracks,Matador,"2xLP, Comp",2010,2014-01-20 08:08:44
OLE-931-7,F----d Up,Daytrotter,Matador,"7"", Ltd",2010,2014-01-20 08:05:07
524901-1,Deftones,White Pony,Maverick,"2xLP, Album, RE",2010,2014-01-21 22:26:53
MRG391,F----d Up,Year Of The Ox,Merge Records,"12""",2010,2014-01-20 08:42:06
NSR031,Touché Amoré / La Dispute,Searching For A Pulse/The Worth Of The World,No Sleep Records,"7"", Ltd",2010,2013-12-02 16:15:36
"NSR027, RFC017",Balance And Composure / Tigers Jaw,Balance And Composure / Tigers Jaw,"No Sleep Records, Run For Cover Records (2)","LP, cle",2010,2014-01-23 09:16:36
509996 26481 1 0,Cypress Hill,Rise Up,Priority Records,"2xLP, Gat + CD, Album",2010,2014-01-23 20:20:33
RFC021,Hostage Calm,Hostage Calm,Run For Cover Records (2),"LP, Album, Cle",2010,2014-01-16 14:37:24
RLP 11094-1,The Posies,Blood/Candy,Rykodisc,"LP, Album",2010,2014-01-26 23:20:58
SD1413-2,Flogging Molly,Live At The Greek Theatre,SideOneDummy Records,"DVD-V + 2xCD, Album",2010,2011-03-17 07:51:29
2760121,And So I Watch You From Afar,The Letters EP,Smalltown America,"10""",2010,2014-01-20 07:20:18
SWC 24840,Street Sweeper Social Club,The Ghetto Blaster EP,SSSC,"10"", EP, Red",2010,2011-10-03 08:45:27
STH2245,Aloe Blacc,Good Things,Stones Throw Records,"2xLP, Album",2010,2011-07-20 09:46:03
SP 870,Wolf Parade,Expo 86,Sub Pop,"2xLP, Album, Gat",2010,2014-08-19 14:28:10
TMR042,The White Stripes,The White Stripes,Third Man Records,"LP, Album, RE, RM",2010,2014-01-23 08:06:51
VCA 80021-7,OFF!,First Four EPs,Vice Records,"4x7"", EP + Box",2010,2014-03-31 11:18:46
VD2510,Sex Pistols,The Great Rock 'N' Roll Swindle,Virgin,"2xLP, Album, RE, RM, Gat",2010,2014-01-26 23:26:38
"6131019, none",Touché Amoré,...To The Beat Of A Dead Horse,"6131 Records, Collect Records","LP, Album, RP, Whi",2011,2014-01-27 15:03:00
AR047,Emily's Army,Don't Be A Dick,Adeline Records,"LP, Album, Yel",2011,2014-01-23 10:30:10
AR049,White Wives,Happeners,Adeline Records,"LP, Album, Ltd, Blu",2011,2011-07-22 14:55:25
AR050,White Wives,Indian Summer,Adeline Records,"7"", Tra",2011,2011-07-22 14:54:48
ALIVE 0047-1,The Black Keys,The Moan / Have Love Will Travel,Alive Records,"7"", Ltd, Tur",2011,2014-01-28 16:05:13
"B0015524-01,",Johnny Cash,American VI: Ain't No Grave,"American Recordings, Lost Highway","LP, Album, Cle",2011,2014-01-14 19:38:20
AOTU 088,Sick Sick Birds,Art Of The Underground Single Series Volume: 46,Art Of The Underground,"7"", Single, TP",2011,2015-03-26 11:13:39
"ASB058, UCR058",Rudiments plus The Suicide Machines,Skank For Brains,"Asbestos Records, Underground Communique Records","2xLP, Gre",2011,2014-01-23 09:12:51
7-527399,Death Cab For Cutie,In Living Stereo!,Atlantic,"7"", Smplr, Ltd",2011,2011-04-18 08:03:35
BBR 001,Flogging Molly,Don't Shut 'Em Down,Borstal Beat Records,"7"", Single, Ltd",2011,2011-04-18 07:55:30
BBR 001,Flogging Molly,Don't Shut 'Em Down,Borstal Beat Records,"7"", Single, Ltd",2011,2014-01-28 15:30:06
B9R035,Give Up The Ghost,Year One,Bridge Nine Records,"12"", RE, Comp, RM, Bla",2011,2014-01-16 14:11:02
B9R144,Defeater,Empty Days & Sleepless Nights,Bridge Nine Records,"2xLP, Album, Etch, Ltd, Gra",2011,2014-01-23 21:10:23
B9R158,H2O (7),H2O,Bridge Nine Records,"LP, RE, Pur",2011,2014-01-18 10:05:46
DW114180g,Give Up The Ghost,Background Music,Deathwish Inc.,"LP, Album, RE, Ltd, Opa",2011,2014-01-16 17:49:16
DW121v,Touché Amoré,Parting The Sea Between Brightness And Me,Deathwish Inc.,"LP, Album, Whi",2011,2014-01-27 15:04:34
B0016331-01,Imelda May,Mayhem,Decca,"LP, Album",2011,2012-02-15 08:45:50
UCGR-00228-1,Thomas Dybdahl / Laura Jansen,A Love Story / Single Girls,Decca,"7"", Promo",2011,2011-04-18 08:28:02
B0015325-01,Rise Against,Endgame,"DGC, Interscope Records","LP, 180",2011,2014-01-26 23:24:54
DG-44,Laura Stevenson & The Cans,Sit Resist,Don Giovanni Records,"LP, Whi",2011,2014-01-26 23:52:05
"DPRLP19, P762538",The Clash,Give 'Em Enough Rope,"Drastic Plastic Records, Sony Music Entertainment","LP, Album, Ltd, 180",2011,2014-01-21 22:30:06
BEC5161064,Justice (3),"Audio, Video, Disco.","Ed Banger Records, Because Music","2xLP, Album + CD, Album + Ltd",2011,2014-01-23 21:56:02
E2 87125,Modest Mouse,Good News For People Who Love Bad News,Epic,"2xLP, Album, RE, 180",2011,2014-01-24 08:12:58
87119-1,Social Distortion,Hard Times And Nursery Rhymes,Epitaph,"2xLP, Album + CD, Album",2011,2011-04-18 08:15:17
FP 1032-1,The Black Keys,Chulahoma,Fat Possum Records,"LP, Album",2011,2014-01-14 19:52:23
FAT 774-1,Dead To Me,Moscow Penny Ante,Fat Wreck Chords,LP,2011,2014-09-16 18:53:51
FAT773,NOFX,NOFX,Fat Wreck Chords,"10"", EP, S/Sided",2011,2013-11-22 10:03:53
"none, ",Justin Sane,Gas Land Terror,"Flix Records, Ashes Records","7"", Whi",2011,2014-01-28 14:55:27
B0015412-01,Sonic Youth,Whore's Moaning: Oz '93 Tour Edition,Geffen Records,"12"", EP, Ltd, Blu",2011,2011-04-18 08:26:14
GR001,The Bouncing Souls,"Live At Generation Records, NYC: April 18, 2009",Generation Records (9),"LP, Ltd",2011,2011-05-16 16:27:12
217-HRM 329-13-7,The Cars,Sad Song,Hear Music,"7"", Single",2011,2011-04-18 08:02:47
HH666-216,Helms Alee,Weatherhead,Hydra Head Records,"2xLP, Album, Ltd, Cle",2011,2016-02-25 21:26:17
"JUMP102LP, PFSS 002",The Prizefighters,Follow My Sound,"Jump Up! Records, Prizefighter Sound System","LP, Blu",2011,2015-02-27 11:05:20
KR-54,Toadies,Dia De Los Toadies,Kirtland Records,"7"", Ltd",2011,2014-01-28 14:32:26
LK4410,White Wives,Situationists EP,Lock And Key Collective,"CD, EP",2011,2011-07-15 09:18:51
B0015614-01,Elvis Costello & The Imposters,The Delivery Man,Lost Highway,"2xLP, Album, Ltd, RE, Cle",2011,2014-01-23 18:07:32
OLE-952-1,F----d Up,David Comes To Life,Matador,"2xLP, Album",2011,2011-09-21 13:52:56
OLE-953-1,Thurston Moore,Demolished Thoughts,Matador,"2xLP, Album, Ltd, Blu",2011,2014-01-23 21:50:16
394790,Deftones,Saturday Night Wrist,Maverick,"LP, Album, RE, Ltd, Gre",2011,2014-01-22 09:50:46
527297-1,Bad Brains,God Of Love,Maverick,"LP, RE + 7"", Bon",2011,2014-01-10 17:25:24
527707-1,Deftones,Adrenaline,Maverick,"LP, Album, Ltd, RE, Pin",2011,2011-07-19 08:19:57
AMAV 527728,"Deftones, ",Around The Fur,Maverick,"LP, Album, Ltd, Ora",2011,2011-07-19 08:20:28
B0016317-01,Sublime (2),Robbin' The Hood,MCA Records,"2xLP, Album, Ltd, Pin",2011,2014-01-26 23:51:38
529099-1,The Black Keys,El Camino,Nonesuch,"LP, Album + CD, Album",2011,2014-01-14 19:27:31
none,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,Not On Label (Clap Your Hands Say Yeah Self-released),"LP, Album, RM, RE",2011,2014-01-23 18:10:25
ORGM-1042,Darkest Hour,The Human Romance,ORG Music,"LP, Album, Ltd, Cle",2011,2014-01-15 18:27:49
"ORGM-1005, B0014269-01, none",Nirvana,Incesticide,"ORG Music, Universal Music Special Markets, DGC","LP, Comp, Ltd, RE, RM, Cle",2011,2014-01-23 21:32:56
"PPR047, none",Various,Oi! This Is Streetpunk,"Pirates Press Records, Longshot Music","11"", Comp, Red",2011,2015-02-27 11:12:38
9362-49582-9,Deftones,Covers,Reprise Records,"LP, Comp, Ltd",2011,2011-04-18 08:10:38
"ROCKACT61, 5051083059558",Mogwai,Earth Division EP,"Rock Action Records, [PIAS] Entertainment Group","12"", EP",2011,2011-11-07 12:54:12
RFC 041,Bridge And Tunnel,Homecoming,Run For Cover Records (2),"7""",2011,2013-12-02 16:55:07
RFC: 050,"Various, ",Mixed Signals: A Run For Cover Records Compilation,Run For Cover Records (2),"LP, Comp, Sea",2011,2014-01-23 09:43:19
RFC:037,Hostage Calm,War On A Feeling / Donna Lee,Run For Cover Records (2),"7"", Single",2011,2013-12-02 16:52:39
RFC:038,End Of A Year Self Defense Family,I Heard Crime Gets You Off,Run For Cover Records (2),"7"", Single",2011,2013-12-02 16:52:52
RFC039,Tigers Jaw,Subscription Single Series #3,Run For Cover Records (2),"7"", MP, Pin",2011,2013-12-02 16:54:23
RFC040,Mockingbird Wish Me Luck,Living Weakness,Run For Cover Records (2),"7"", Single, Mar",2011,2013-12-02 17:00:50
RFC047,Tigers Jaw,CMJ Flexi,Run For Cover Records (2),"Flexi, 7""",2011,2013-12-04 09:08:39
LBJ-158,Bright Eyes,The People's Key,Saddle Creek,"LP, Album",2011,2014-01-15 18:34:18
none,Anti-Flag,Complete Control Recording Sessions,SideOneDummy Records,"10"", Red",2011,2011-10-04 09:12:06
SD1457-10,Scream (2),Complete Control Recording Sessions,SideOneDummy Records,"10"", EP, Red",2011,2013-11-22 10:05:41
SP895,Mogwai,"Hardcore Will Never Die, But You Will.",Sub Pop,"2xLP, Album",2011,2011-09-21 13:52:27
TRR199,Explosions In The Sky,"Take Care, Take Care, Take Care",Temporary Residence Limited,"LP, Gre + LP, S/Sided, Etch, Bro + Album, Ltd",2011,2011-04-28 07:46:43
"TRR 169, TRR169",Grails,Deep Politics,"Temporary Residence Limited, Temporary Residence Limited","LP + LP, S/Sided, Etch + Album",2011,2014-01-23 09:08:58
RIC025V,And So I Watch You From Afar,Gangs,The Richter Collective,"LP, Album",2011,2014-02-21 11:34:56
VR686,Thrice,Major/Minor,Vagrant Records,"2x12"", Album, Ltd, Cle",2011,2011-09-21 13:53:12
VR210,Between The Buried And Me,The Silent Circus,Victory Records,"2xLP, Album, Ltd, Red",2011,2014-01-14 19:36:52
VR351,Between The Buried And Me,Colors,Victory Records,"2xLP, Album, Ltd, RP, Yel",2011,2014-01-14 19:42:06
50999 67928 9 10,The Smashing Pumpkins,Siamese Dream,Virgin,"2xLP, Album, RE, RM, 180",2011,2011-12-20 12:09:04
5099990959615,The Smashing Pumpkins,Gish,Virgin,"LP, Album, RE, RM, 180",2011,2014-01-26 23:01:13
527424-7,Hüsker Dü / Green Day,Don't Want To Know If You Are Lonely,"Warner Bros. Records, Reprise Records","7"", Single, Ltd, Ora",2011,2011-04-18 08:01:55
WARP LP212,Battles,Gloss Drop,Warp Records,"2xLP, Album",2011,2014-01-10 17:24:29
XLLP529,"Tyler, The Creator",Goblin,XL Recordings,"2xLP, Album",2011,2014-06-22 11:44:17
ANTI 86891-1,The Coup,Sorry To Bother You,Anti-,"2xLP + CD, Album",2012,2014-01-12 21:27:38
AMR-235,Classics Of Love,Classics Of Love,Asian Man Records,"12"", Album, Pur",2012,2012-02-15 08:45:50
AMR-235,Classics Of Love,Classics Of Love,Asian Man Records,"12"", Album, Red",2012,2014-01-21 21:53:40
"7-530627-7, 7-530627 (K1)",Otis Redding / Aretha Franklin,Respect,"Atlantic, Rhino Records (2)","7"", Single, Ltd, Bro",2012,2013-12-02 16:17:17
ATO0142,Alabama Shakes,Boys & Girls,ATO Records,"LP, Album + 7"", Single",2012,2014-01-10 17:35:28
8100300-1,Joey Ramone,Rock 'N Roll Is The Answer,BMG,"7"", Single, Ltd, Cle",2012,2014-01-28 14:58:20
BNR090,Boys Noize,Out Of The Black,Boysnoize Records,"2x12"", Album",2012,2014-01-14 19:43:24
B0017777-01,Crystal Castles,(III),Casablanca Records,"LP, Album",2012,2014-01-15 18:31:59
"CAR053, RR161-1",The Bouncing Souls,Comet,"Chunksaah Records, Rise Records (3)","LP, Album, Ltd",2012,2014-01-14 19:49:00
88691959247,The Clash,London Calling,Columbia,"7"", Ltd, Single",2012,2014-01-28 15:59:40
88725 41651 1,Passion Pit,Gossamer,Columbia,"2xLP, Album, Gat",2012,2014-01-23 10:24:42
38-540540,Band Of Horses,Sonic Ranch Sessions: Mirage Rock & Relly's Dream,Columbia Records,"7"", Ltd",2012,2014-01-28 16:07:01
COUNT 046,The Heavy,The Glorious Dead,Counter Records,"2xLP, Ltd, Album, Gat",2012,2014-03-31 11:04:37
B0016752-11,Of Monsters And Men,Útí Sjó Og Inní Skóg,Dear Deer Records,"10"", EP, Ltd",2012,2013-11-22 09:54:06
DW136v,Touché Amoré,Live On BBC Radio 1,Deathwish Inc.,"7"", Ltd, Whi",2012,2014-01-28 14:52:27
MOSH256LP,The Dillinger Escape Plan,The Dillinger Escape Plan,Earache Records,"12"", EP, Ltd, RE, Yel",2012,2014-01-22 20:24:10
86981-1,Refused,The Shape Of Punk To Come (A Chimerical Bombination In 12 Bursts),Epitaph,"2xLP, Ltd, RE, RM, Tra + CD, Album + DVD-V",2012,2014-01-26 23:19:36
87170-1,The Menzingers,On The Impossible Past,Epitaph,"LP, Album + CD, Album",2012,2014-01-24 09:03:30
B0016547-21,Florence And The Machine,Shake It Out,Fairfax Recordings,"7"", Single, Ltd",2012,2014-01-28 15:28:02
